Measure Mode: wall_time
Thread ID: 70268248914440
Fiber ID: 70268249677180
Total: 1.852403
Sort by: self_time

 %self      total      self      wait     child     calls  name
 85.31      1.595     1.580     0.000     0.015    23218   Array#each
  2.30      0.043     0.043     0.000     0.000    23168   String#%
  2.00      0.233     0.037     0.000     0.196     2898  *Hash#each
  1.00      0.038     0.019     0.000     0.019    23168   EnrollmentRepository#truncate
  0.91      0.017     0.017     0.000     0.000     5794   Array#to_h
  0.80      1.758     0.015     0.000     1.743     8726  *Array#map
  0.76      0.014     0.014     0.000     0.000    46336   String#to_f
  0.63      0.082     0.012     0.000     0.071     2900  *Kernel#loop
  0.42      0.008     0.008     0.000     0.000    23168   String#to_i
  0.40      0.023     0.007     0.000     0.015     8712  *Class#new
  0.39      0.007     0.007     0.000     0.000    11594   String#=~
  0.36      0.007     0.007     0.000     0.000     2898   String#sub!
  0.29      0.005     0.005     0.000     0.000    11592   String#[]
  0.27      0.005     0.005     0.000     0.000    23168   Float#floor
  0.23      0.004     0.004     0.000     0.000    23168   Fixnum#/
  0.22      0.004     0.004     0.000     0.000     2898   String#split
  0.21      0.004     0.004     0.000     0.000    23168   Float#*
  0.21      0.237     0.004     0.000     0.233     2898  *Enumerable#map
  0.18      0.003     0.003     0.000     0.000     2896   Array#zip
  0.18      0.034     0.003     0.000     0.030     2898  *CSV#parse_headers
  0.17      1.565     0.003     0.000     1.562     2920   Enumerable#group_by
  0.17      0.090     0.003     0.000     0.087     2900  *CSV#shift
  0.16      0.003     0.003     0.000     0.000     2902   IO#gets
  0.15      0.012     0.003     0.000     0.009     2896   CSV::Row#initialize
  0.13      0.006     0.002     0.000     0.004     2896   Enumerable#to_h
  0.12      0.002     0.002     0.000     0.000    11610   Kernel#is_a?
  0.11      0.014     0.002     0.000     0.013     2898   CSV#convert_fields
  0.10      0.145     0.002     0.000     0.143     2896   EnrollmentRepository#floor_stuff
  0.10      0.011     0.002     0.000     0.009     2898   Enumerator#with_index
  0.09      1.014     0.002     0.000     1.012     1448   EnrollmentRepository#create_hash_of_years_to_participation_kg
  0.08      0.004     0.002     0.000     0.002     2896   CSV::Row#each
  0.08      0.570     0.002     0.000     0.569     1448   EnrollmentRepository#create_hash_of_years_to_graduation_hs
  0.08      0.001     0.001     0.000     0.000     1448   Enrollment#initialize
  0.07      0.091     0.001     0.000     0.090        2   CSV#each
  0.07      0.001     0.001     0.000     0.000     5810   Kernel#nil?
  0.06      0.560     0.001     0.000     0.559     1448   EnrollmentRepository#district_groups_hs
  0.06      0.002     0.001     0.000     0.001     2900   CSV#header_row?
  0.06      1.001     0.001     0.000     1.000     1456   EnrollmentRepository#district_groups_kg
  0.04      0.001     0.001     0.000     0.000     2904   Array#initialize
  0.04      0.001     0.001     0.000     0.000     2900   Kernel#class
  0.03      0.001     0.001     0.000     0.000     1456   EnrollmentRepository#kindergarten_enrollments
  0.03      0.001     0.001     0.000     0.000     1448   EnrollmentRepository#high_school_enrollments
  0.03      0.000     0.000     0.000     0.000     1448   District#initialize
  0.01      0.000     0.000     0.000     0.000     1448   Array#first
  0.00      0.000     0.000     0.000     0.000       20   String#gsub
  0.00      0.000     0.000     0.000     0.000       16   Hash#keys
  0.00      0.000     0.000     0.000     0.000        2   CSV#init_separators
  0.00      0.001     0.000     0.000     0.001        2   CSV#initialize
  0.00      0.000     0.000     0.000     0.000        2   File#initialize
  0.00      0.000     0.000     0.000     0.000       56   String#encode
  0.00      0.000     0.000     0.000     0.000       10   Regexp#initialize
  0.00      0.000     0.000     0.000     0.000        6   NilClass#nil?
  0.00      1.852     0.000     0.000     1.852        1   Global#[No method]
  0.00      1.753     0.000     0.000     1.753        8   DistrictRepository#district_instances
  0.00      0.000     0.000     0.000     0.000        4   CSV#init_converters
  0.00      0.000     0.000     0.000     0.000       38   Encoding#name
  0.00      0.000     0.000     0.000     0.000        8   Hash#values
  0.00      0.000     0.000     0.000     0.000       16   Array#join
  0.00      0.000     0.000     0.000     0.000        2   CSV#init_parsers
  0.00      0.000     0.000     0.000     0.000       32   Hash#delete
  0.00      0.001     0.000     0.000     0.001        2   <Class::CSV>#open
  0.00      0.006     0.000     0.000     0.006        8   DistrictRepository#district_names
  0.00      1.753     0.000     0.000     1.753        8   DistrictRepository#find_by_name
  0.00      0.000     0.000     0.000     0.000        3   Float#round
  0.00      1.743     0.000     0.000     1.743        8   DistrictRepository#enrollment_for_district
  0.00      0.000     0.000     0.000     0.000        4   Hash#initialize_copy
  0.00      0.000     0.000     0.000     0.000       24   String#upcase
  0.00      0.000     0.000     0.000     0.000       10   CSV#encode_re
  0.00      0.000     0.000     0.000     0.000       16   CSV#encode_str
  0.00      0.000     0.000     0.000     0.000        4   String#sub
  0.00      0.099     0.000     0.000     0.099        2   LoadData#load_csv_data
  0.00      0.000     0.000     0.000     0.000        8   Enumerable#find
  0.00      1.742     0.000     0.000     1.742        8   EnrollmentRepository#enrollment_instances
  0.00      0.872     0.000     0.000     0.872        4   HeadcountAnalyst#districts_graduation
  0.00      0.000     0.000     0.000     0.000        8   String#to_sym
  0.00      0.000     0.000     0.000     0.000        4   CSV#escape_re
  0.00      0.000     0.000     0.000     0.000        8   DistrictRepository#kindergarten_enrollments
  0.00      0.000     0.000     0.000     0.000        2   CSV#add_converter
  0.00      0.000     0.000     0.000     0.000        2   CSV#init_headers
  0.00      0.099     0.000     0.000     0.099        1   DistrictRepository#load_data
  0.00      0.881     0.000     0.000     0.881        4   HeadcountAnalyst#districts_participation
  0.00      0.881     0.000     0.000     0.881        2   HeadcountAnalyst#average_of_districts_participation
  0.00      0.872     0.000     0.000     0.872        2   HeadcountAnalyst#average_of_districts_graduation
  0.00      0.000     0.000     0.000     0.000        4   Hash#merge
  0.00      0.000     0.000     0.000     0.000        4   Kernel#method
  0.00      0.000     0.000     0.000     0.000       10   Symbol#to_s
  0.00      0.000     0.000     0.000     0.000        4   Kernel#instance_variable_set
  0.00      0.000     0.000     0.000     0.000        4   Array#include?
  0.00      0.000     0.000     0.000     0.000        2   CSV#header_convert
  0.00      0.000     0.000     0.000     0.000        2   IO#pos
  0.00      0.872     0.000     0.000     0.872        1   HeadcountAnalyst#hs_graduation_rate_variation
  0.00      0.000     0.000     0.000     0.000        2   IO#rewind
  0.00      0.000     0.000     0.000     0.000        4   Enumerable#reduce
  0.00      0.000     0.000     0.000     0.000       32   Float#to_f
  0.00      0.000     0.000     0.000     0.000        2   Kernel#respond_to?
  0.00      0.000     0.000     0.000     0.000        4   Array#count
  0.00      0.000     0.000     0.000     0.000        2   String#end_with?
  0.00      1.753     0.000     0.000     1.753        1   HeadcountAnalyst#kindergarten_participation_against_high_school_graduation
  0.00      0.000     0.000     0.000     0.000        2   CSV#raw_encoding
  0.00      0.000     0.000     0.000     0.000        2   CSV#init_comments
  0.00      0.000     0.000     0.000     0.000        2   <Class::IO>#open
  0.00      0.000     0.000     0.000     0.000        4   Kernel#lambda
  0.00      0.091     0.000     0.000     0.091        2   Enumerable#to_a
  0.00      0.000     0.000     0.000     0.000        8   Proc#arity
  0.00      0.881     0.000     0.000     0.881        1   HeadcountAnalyst#kindergarten_participation_rate_variation
  0.00      0.000     0.000     0.000     0.000        4   Fixnum#+
  0.00      0.000     0.000     0.000     0.000        4   Kernel#block_given?
  0.00      0.099     0.000     0.000     0.099        1   LoadData#load_each_file
  0.00      1.753     0.000     0.000     1.753        1   HeadcountAnalyst#kindergarten_participation_correlates_with_high_school_graduation
  0.00      0.000     0.000     0.000     0.000        2   Numeric#nonzero?
  0.00      0.000     0.000     0.000     0.000        2   Method#call
  0.00      0.000     0.000     0.000     0.000        2   Kernel#instance_variable_get
  0.00      1.753     0.000     0.000     1.753        1   HeadcountAnalyst#find_if_variation_is_true_or_false
  0.00      0.000     0.000     0.000     0.000        4   Float#/
  0.00      0.000     0.000     0.000     0.000        2   String#==
  0.00      0.000     0.000     0.000     0.000        4   Kernel#initialize_dup
  0.00      0.000     0.000     0.000     0.000        8   String#downcase
  0.00      0.000     0.000     0.000     0.000        8   String#strip
  0.00      0.000     0.000     0.000     0.000        6   String#to_s
  0.00      0.000     0.000     0.000     0.000        2   IO#external_encoding
  0.00      0.000     0.000     0.000     0.000        1   HeadcountAnalyst#initialize
  0.00      0.000     0.000     0.000     0.000        2   String#freeze
  0.00      0.000     0.000     0.000     0.000        2   IO#internal_encoding
  0.00      0.000     0.000     0.000     0.000        6   Module#===
  0.00      0.099     0.000     0.000     0.099        1   LoadData#load_data
  0.00      0.000     0.000     0.000     0.000        3   BasicObject#initialize
  0.00      0.000     0.000     0.000     0.000        2   Array#last
  0.00      0.000     0.000     0.000     0.000        2   Array#pop
  0.00      0.000     0.000     0.000     0.000        2   Fixnum#zero?

* indicates recursively called methods
